year,state,party,two_party_pct
1978,FL,DEMOCRAT,0.7171661865309328
1978,FL,REPUBLICAN,0.450879398960631
1978,GA,DEMOCRAT,0.8454406922423094
1978,GA,REPUBLICAN,0.309118615515381
1978,HI,DEMOCRAT,0.8313063871445998
1978,HI,REPUBLICAN,0.1686936128554002
1978,IA,DEMOCRAT,0.4975364037361017
1978,IA,REPUBLICAN,0.5024635962638982
1978,ID,DEMOCRAT,0.4138508184194888
1978,ID,REPUBLICAN,0.5861491815805113
1978,IL,DEMOCRAT,0.5182549224012455
1978,IL,REPUBLICAN,0.5033390326988064
1978,IN,DEMOCRAT,0.5346770787823023
1978,IN,REPUBLICAN,0.46532292121769775
1978,KS,DEMOCRAT,0.5318733142980104
1978,KS,REPUBLICAN,0.6808760114211937
1978,KY,DEMOCRAT,0.6383718673145589
1978,KY,REPUBLICAN,0.5062793857596175
1978,LA,DEMOCRAT,0.9002032085561498
1978,LA,REPUBLICAN,0.8747459893048128
1978,MA,DEMOCRAT,0.7118946417840366
1978,MA,REPUBLICAN,0.28810535821596345
1978,MD,DEMOCRAT,0.684603411743851
1978,MD,REPUBLICAN,0.36045324372131315
1978,ME,DEMOCRAT,0.4068403931428751
1978,ME,REPUBLICAN,0.5931596068571249
1978,MI,DEMOCRAT,0.6007010908108579
1978,MI,REPUBLICAN,0.3992989091891421
1978,MN,DEMOCRAT,0.5205618647575739
1978,MN,REPUBLICAN,0.47943813524242607
1978,MO,DEMOCRAT,0.6354871413344274
1978,MO,REPUBLICAN,0.36451285866557254
1978,MS,DEMOCRAT,0.6403047270441115
1978,MS,REPUBLICAN,0.48775621836471095
1978,MT,DEMOCRAT,0.5022030792112488
1978,MT,REPUBLICAN,0.49779692078875115
1978,NC,DEMOCRAT,0.6608875801077284
1978,NC,REPUBLICAN,0.39919310899297417
1978,ND,DEMOCRAT,0.315285915597419
1978,ND,REPUBLICAN,0.6847140844025811
1978,NE,DEMOCRAT,0.38056619441377565
1978,NE,REPUBLICAN,0.6194338055862244
1978,NH,DEMOCRAT,0.473010496219454
1978,NH,REPUBLICAN,0.526989503780546
1978,NJ,DEMOCRAT,0.5750891348551129
1978,NJ,REPUBLICAN,0.42491086514488696
1978,NM,DEMOCRAT,0.6873609904891016
1978,NM,REPUBLICAN,0.6252780190217967
1978,NV,DEMOCRAT,0.7489233516825102
1978,NV,REPUBLICAN,0.2510766483174897
1978,NY,DEMOCRAT,0.6184411533081466
1978,NY,REPUBLICAN,0.4132737776307327
1978,OH,DEMOCRAT,0.5022742769897737
1978,OH,REPUBLICAN,0.5431802684647717
1978,OK,DEMOCRAT,0.6155785579112596
1978,OK,REPUBLICAN,0.4613057305064885
1978,OR,DEMOCRAT,0.6831449286689883
1978,OR,REPUBLICAN,0.31685507133101165
1978,PA,DEMOCRAT,0.5137668020518508
1978,PA,REPUBLICAN,0.48623319794814923
1978,RI,DEMOCRAT,0.5692618296468637
1978,RI,REPUBLICAN,0.43073817035313644
1978,SC,DEMOCRAT,0.6905759887410197
1978,SC,REPUBLICAN,0.3713088135107764
1978,SD,DEMOCRAT,0.4700541730110307
1978,SD,REPUBLICAN,0.5299458269889694
1978,TN,DEMOCRAT,0.5882160582027844
1978,TN,REPUBLICAN,0.47061021919681784
1978,TX,DEMOCRAT,0.6518545527839467
1978,TX,REPUBLICAN,0.3916237080856185
1978,UT,DEMOCRAT,0.4433262244261751
1978,UT,REPUBLICAN,0.5566737755738249
1978,VA,DEMOCRAT,0.5638758680737852
1978,VA,REPUBLICAN,0.6725409914981672
1978,VT,DEMOCRAT,0.20390463148284702
1978,VT,REPUBLICAN,0.796095368517153
1978,WA,DEMOCRAT,0.5341017997700466
1978,WA,REPUBLICAN,0.4658982002299535
1978,WI,DEMOCRAT,0.5423550769057999
1978,WI,REPUBLICAN,0.45764492309420013
1978,WV,DEMOCRAT,0.6948359131658912
1978,WV,REPUBLICAN,0.40688544911214514
1978,WY,DEMOCRAT,0.4136902231463088
1978,WY,REPUBLICAN,0.5863097768536911
1980,AK,DEMOCRAT,0.2592152508587049
1980,AK,REPUBLICAN,0.7407847491412951
1980,AL,DEMOCRAT,0.6533221333708733
1980,AL,REPUBLICAN,0.4044575110673145
1980,AR,DEMOCRAT,0.7366311532109394
1980,AR,REPUBLICAN,0.8950532701835909
1980,AZ,DEMOCRAT,0.4681366566206514
1980,AZ,REPUBLICAN,0.5318633433793486
1980,CA,DEMOCRAT,0.5011747469046308
1980,CA,REPUBLICAN,0.4988252530953691
1980,CO,DEMOCRAT,0.46168490001822543
1980,CO,REPUBLICAN,0.5383150999817745
1980,CT,DEMOCRAT,0.5173929628052293
1980,CT,REPUBLICAN,0.48260703719477077
1980,DE,DEMOCRAT,0.37767879145762523
1980,DE,REPUBLICAN,0.6223212085423748
1980,FL,DEMOCRAT,0.6237204825318757
1980,FL,REPUBLICAN,0.41786088297024926
1980,GA,DEMOCRAT,0.7489584271563685
1980,GA,REPUBLICAN,0.3138019660545393
1980,HI,DEMOCRAT,0.8655503199800394
1980,HI,REPUBLICAN,0.13444968001996058
1980,IA,DEMOCRAT,0.5130726974642439
1980,IA,REPUBLICAN,0.48692730253575617
1980,ID,DEMOCRAT,0.4373649154132616
1980,ID,REPUBLICAN,0.5626350845867385
1980,IL,DEMOCRAT,0.5014504763373518
1980,IL,REPUBLICAN,0.4985495236626481
1980,IN,DEMOCRAT,0.5018913375569654
1980,IN,REPUBLICAN,0.49810866244303464
1980,KS,DEMOCRAT,0.43811123557638004
1980,KS,REPUBLICAN,0.5618887644236199
1980,KY,DEMOCRAT,0.623918169377017
1980,KY,REPUBLICAN,0.5265145628721761
1980,LA,DEMOCRAT,0.6912226552981373
1980,LA,REPUBLICAN,0.6175546894037254
1980,MA,DEMOCRAT,0.6949300043954229
1980,MA,REPUBLICAN,0.4067599941394362
1980,MD,DEMOCRAT,0.6394692388460955
1980,MD,REPUBLICAN,0.3605307611539045
1980,ME,DEMOCRAT,0.2650281742468452
1980,ME,REPUBLICAN,0.7349718257531548
1980,MI,DEMOCRAT,0.5591686712114693
1980,MI,REPUBLICAN,0.44083132878853065
1980,MN,DEMOCRAT,0.48778965936805085
1980,MN,REPUBLICAN,0.5122103406319491
1980,MO,DEMOCRAT,0.5559715197040243
1980,MO,REPUBLICAN,0.44402848029597575
1980,MS,DEMOCRAT,0.6068872087156781
1980,MS,REPUBLICAN,0.49139098910540235
1980,MT,DEMOCRAT,0.5118172224775945
1980,MT,REPUBLICAN,0.48818277752240546
1980,NC,DEMOCRAT,0.582428091132832
1980,NC,REPUBLICAN,0.45932909975388475
1980,ND,DEMOCRAT,0.5716655675542
1980,ND,REPUBLICAN,0.4283344324458
1980,NE,DEMOCRAT,0.2752925942428408
1980,NE,REPUBLICAN,0.7247074057571593
1980,NH,DEMOCRAT,0.48326371529992906
1980,NH,REPUBLICAN,0.5167362847000709
1980,NJ,DEMOCRAT,0.5112967687308565
1980,NJ,REPUBLICAN,0.4887032312691435
1980,NM,DEMOCRAT,0.48104267244560583
1980,NM,REPUBLICAN,0.5189573275543942
1980,NV,DEMOCRAT,0.7232969728829894
1980,NV,REPUBLICAN,0.27670302711701056
1980,NY,DEMOCRAT,0.5726028892415604
1980,NY,REPUBLICAN,0.42739711075843967
1980,OH,DEMOCRAT,0.48152514445719596
1980,OH,REPUBLICAN,0.5678534132135472
1980,OK,DEMOCRAT,0.5950854606919879
1980,OK,REPUBLICAN,0.4858974471696145
