,index,year,state,district,party,votes,totalvotes,two_party_pct,total_pct
388,388,1976,MN,1,REPUBLICAN,158177,231773,0.6913118916816356,0.6824651706626742
389,389,1976,MN,2,DEMOCRAT,97488,245810,0.3965989992270453,0.3965989992270453
390,390,1976,MN,2,REPUBLICAN,148322,245810,0.6034010007729548,0.6034010007729548
391,391,1976,MN,3,DEMOCRAT,72044,225459,0.32590689279235674,0.3195436864352277
392,392,1976,MN,3,REPUBLICAN,149013,225459,0.6740931072076433,0.6609316993333599
393,393,1976,MN,4,DEMOCRAT,133282,200599,0.690405026703065,0.6644200619145659
394,394,1976,MN,4,REPUBLICAN,59767,200599,0.30959497329693497,0.2979426617281243
395,395,1976,MN,5,DEMOCRAT,138213,195596,0.7313747175582214,0.7066248798543937
396,396,1976,MN,5,REPUBLICAN,50764,195596,0.26862528244177863,0.25953495981512914
397,397,1976,MN,6,DEMOCRAT,147507,246708,0.597901162507904,0.597901162507904
398,398,1976,MN,6,REPUBLICAN,99201,246708,0.4020988374920959,0.4020988374920959
399,399,1976,MN,7,DEMOCRAT,174080,241627,0.7301615264268307,0.7204492875382305
400,400,1976,MN,7,REPUBLICAN,64333,241627,0.26983847357316926,0.2662492188372988
401,401,1976,MN,8,DEMOCRAT,206755,206755,1.0,1.0
402,402,1976,MO,1,DEMOCRAT,87310,133184,0.6555592263334935,0.6555592263334935
403,403,1976,MO,1,REPUBLICAN,45874,133184,0.3444407736665065,0.3444407736665065
404,404,1976,MO,2,DEMOCRAT,111568,218379,0.5108916150362444,0.5108916150362444
405,405,1976,MO,2,REPUBLICAN,106811,218379,0.4891083849637557,0.4891083849637557
406,406,1976,MO,3,DEMOCRAT,115109,180732,0.6369043666865857,0.6369043666865857
407,407,1976,MO,3,REPUBLICAN,65623,180732,0.3630956333134143,0.3630956333134143
408,408,1976,MO,4,DEMOCRAT,115955,207560,0.5586577375216805,0.5586577375216805
409,409,1976,MO,4,REPUBLICAN,91605,207560,0.44134226247831954,0.44134226247831954
410,410,1976,MO,5,DEMOCRAT,100876,148302,0.7076187069032036,0.6802066054402502
411,411,1976,MO,5,REPUBLICAN,41681,148302,0.2923812930967964,0.28105487451281846
